event,stage,breaker 1 (red),breaker 2 (blue),winner,battle rounds,number of judges,breaker 1 round wins,breaker 2 round wins,breaker 1 vote count,breaker 2 vote count,judge 1 name ,judge 2 name,judge 3 name,judge 4 name,judge 5 name,judge 6 name ,judge 7 name,judge 8 name,judge 9 name,r1j1over,r1j2over,r1j3over,r1j4over,r1j5over,r1j6over,r1j7over,r1j8over,r1j9over,r2j1over,r2j2over,r2j3over,r2j4over,r2j5over,r2j6over,r2j7over,r2j8over,r2j9over,r3j1over,r3j2over,r3j3over,r3j4over,r3j5over,r3j6over,r3j7over,r3j8over,r3j9over,r4j1over,r4j2over,r4j3over,r4j4over,r4j5over,r4j6over,r4j7over,r4j8over,r4j9over,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 B-Girl Top 8 KnockOut,Miimo,Spooky,Miimo,3,5,2,1,12,3,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,-4,-8,-6,-100,-38,,,,,1,-8,-5,71,23,,,,,-6,-1,-5,-72,-21,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 B-Girl Top 8 KnockOut,Roxic,Nat,Nat,2,5,0,2,2,8,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,-9,11,100,79,6,,,,,8,7,100,-100,51,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 B-Girl Top 8 KnockOut,Mimì,Solid,Solid,2,5,0,2,2,8,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,-1,5,36,98,39,,,,,-2,10,78,99,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 B-Girl Top 8 KnockOut,Munirat,Spooky,Spooky,3,5,1,2,6,9,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,-1,8,-21,-62,-25,,,,,5,4,11,100,32,,,,,-1,-2,11,81,9,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 B-Girl Top 8 KnockOut,Miimo,Cha-Ja,Miimo,2,5,2,0,8,2,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,-3,9,10,-76,-5,,,,,-3,-14,-11,-64,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 Open Breaking Top 16 KnockOut,Exaggerate,Thesis,Thesis,3,5,0,3,0,15,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,27,10,7,96,15,,,,,11,5,5,84,36,,,,,7,6,8,82,76,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 Open Breaking Top 16 KnockOut,Thesis,warfoot,Thesis,2,5,2,0,8,2,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,-3,-12,-27,70,-56,,,,,3,-3,-17,-71,-56,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 Open Breaking Top 16 KnockOut,Exaggerate,JET LEG,Exaggerate,2,5,2,0,9,1,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,-3,-1,-78,79,-28,,,,,-1,-18,-80,-73,-51,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 Open Breaking Top 16 KnockOut,warfoot,The Space Ninja,warfoot,2,5,2,0,8,2,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,2,-4,13,-100,-17,,,,,-4,-3,-61,-91,-21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Break Mission x B-Side Hip-Hop Festival 2023,1vs1 Open Breaking Top 16 KnockOut,Thesis,Victor Jay,Thesis,2,5,2,0,10,0,Rob-Nasty Rocker,Cri6,Stefani,Issue,Alvarone,,,,,-16,-15,-100,-100,-75,,,,,-30,-13,-55,-100,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,
